+-----------+-------------------------------------------------------------------------+--------+----+------------+-----------+----------------------+
|   Mã môn  | Tên môn học                                                             |  Nhóm  | Tổ | Số tín chỉ |    Lớp    |        ID Môn        |
+-----------+-------------------------------------------------------------------------+--------+----+------------+-----------+----------------------+
| 61CHI21B2 | Thực hành tiếng 1B2                                                     |   01   |    |     4      |     *     | -8293970629294100646 |
| 61CHI22B1 | Thực hành tiếng 2B1                                                     |   01   |    |     4      |     *     | -7029325378800326610 |
| 61CHI22B2 | Thực hành tiếng 2B2                                                     |   01   |    |     4      |     *     | -4862848488757382005 |
| 61CHI3CCS | Đất nước học Trung Quốc                                                 |   01   |    |     4      |     *     | -7910469008798812307 |
| 61CHI3CLI | Trích giảng Văn học Trung Quốc                                          |   01   |    |     2      |     *     | -8258264382675337261 |
| 61CHI3CT1 | Tiếng Trung Quốc Du lịch 1                                              |   01   |    |     3      |     *     | -7635199051326486159 |
| 61CHI3FL1 | Ngoại ngữ 2 - tiếng Trung Quốc A1                                       |   01   |    |     3      |     *     | -6514990679865868620 |
| 61CHI3FL2 | Ngoại ngữ 2 - tiếng Trung Quốc A2                                       |   01   |    |     4      |     *     | -8408827065961128102 |
| 61CHI3HCL | Lịch sử Văn học Trung Quốc                                              |   01   |    |     3      |     *     | -6479626068410150727 |
| 61CHI3IP1 | Phiên dịch 1                                                            |   01   |    |     3      |     *     | -8035793622817872202 |
| 61CHI3ITI | Nhập môn Biên-Phiên dịch                                                |   01   |    |     2      |     *     | -5988007091335108261 |
| 61CHI3ITO | Nhập môn du lịch                                                        |   01   |    |     3      |     *     | -5725528629371019346 |
| 61CHI3LEX | Từ vựng học tiếng Trung Quốc                                            |   01   |    |     3      |     *     | -8065587399123484823 |
| 61CHI3PHO | Ngữ âm học tiếng Trung Quốc                                             |   01   |    |     3      |     *     | -5588159469962471760 |
| 61CHI3TP1 | Biên dịch 1                                                             |   01   |    |     3      |     *     | -8012236479553473539 |
| 61CHI4ANC | Tiếng Trung Quốc cổ đại                                                 |   01   |    |     2      |     *     | -8579811797145128669 |
| 61CHI4AUT | Dịch nghe nhìn                                                          |   01   |    |     2      |     *     | -5696598488635373707 |
| 61CHI4CLC | Ngôn ngữ và Văn hóa Trung Quốc                                          |   01   |    |     3      |     *     | -6797748567551689219 |
| 61CHI4COL | Ngôn ngữ học Đối chiếu                                                  |   01   |    |     2      |     *     | -8385424878159520366 |
| 61CHI4CTO | Văn hóa và Du lịch                                                      |   01   |    |     3      |     *     | -4842441687633341862 |
| 61CHI4GR2 | Ngữ pháp tiếng Trung Quốc 2                                             |   01   |    |     3      |     *     | -8379785813342065769 |
| 61CHI4HOM | Quản trị Khách sạn                                                      |   01   |    |     2      |     *     | -5669442298609378640 |
| 61CHI4INT | Thực tập                                                                |   01   |    |     3      |     *     | -7271139826445096056 |
| 61CHI4IP3 | Phiên dịch 3                                                            |   01   |    |     3      |     *     | -6444501025120647334 |
| 61CHI4ISI | Nhập môn Dịch song song                                                 |   01   |    |     2      |     *     | -8557098492502414416 |
| 61CHI4LET | Biên dịch chuyên đề Pháp luật                                           |   01   |    |     2      |     *     | -7741084461627378473 |
| 61CHI4SUT | Du lịch bền vững                                                        |   01   |    |     3      |     *     | -5222927568965711949 |
| 61CHI4TEC | Biên dịch Chuyên đề Kinh tế - Thương mại                                |   01   |    |     2      |     *     | -8287784806242661800 |
| 61CHI4TGS | Nghiệp vụ Hướng dẫn Du lịch                                             |   01   |    |     3      |     *     | -7819202987665341226 |
| 61CHI4TP3 | Biên dịch 3                                                             |   01   |    |     3      |     *     | -8702610779617777857 |
| 61CHI4TRM | Quản trị lữ hành                                                        |   01   |    |     2      |     *     | -7848445630681346459 |
| 61COC21B2 | Thực hành tiếng 1B2                                                     |   01   |    |     4      |     *     | -6829354996627113689 |
| 61COC22B2 | Thực hành tiếng 2B2                                                     |   01   |    |     4      |     *     | -6345621090327799310 |
| 61COC23B2 | Thực hành tiếng 3B2                                                     |   01   |    |     4      |     *     | -5627334247263906689 |
| 61COC2FCS | Tiếng Pháp chuyên ngành Truyền thông                                    |   01   |    |     2      |     *     | -8031225073458126237 |
| 61COC2PCO | Tâm lý học Truyền thông                                                 |   01   |    |     2      |     *     | -5980118601213912867 |
| 61COC3COT | Lý thuyết Truyền thông                                                  |   01   |    |     2      |     *     | -8581299023408212527 |
| 61COC3CW1 | Thiết kế và Sản xuất Sản phẩm Truyền thông Cơ bản                       |   01   |    |     3      |     *     | -8213242591820553790 |
| 61COC3LAE | Pháp luật và Đạo đức nghề nghiệp                                        |   01   |    |     2      |     *     | -5181440994994939304 |
| 61COC3MAM | Phương tiện Truyền thông Đại chúng                                      |   01   |    |     3      |     *     | -6253838374634390967 |
| 61COC3PMK | Nguyên lý Marketing                                                     |   01   |    |     3      |     *     | -6240863877213376415 |
| 61COC3RIC | Phương pháp Nghiên cứu khoa học trong Truyền thông                      |   01   |    |     3      |     *     | -8359471884233054689 |
| 61COC3TOC | Lý thuyết Tổ chức và Doanh nghiệp                                       |   01   |    |     2      |     *     | -6604694742760417135 |
| 61COC4BCD | Xây dựng và Phát triển Thương hiệu                                      |   01   |    |     3      |     *     | -5844448797246749457 |
| 61COC4CTC | Xu hướng Truyền thông Hiện đại                                          |   01   |    |     3      |     *     | -8034688713150242538 |
| 61COC4EMA | Tiếp thị Trực tuyến                                                     |   01   |    |     3      |     *     | -7959148632781834825 |
| 61COC4EMG | Truyền thông Sự kiện                                                    |   01   |    |     3      |     *     | -5916124929194115166 |
| 61COC4IN2 | Thực tập 2                                                              |   01   |    |     6      |     *     | -5280456566889787439 |
| 61ENG2LS3 | Kỹ năng nghe 3 (B2)                                                     |   01   |    |     3      |     *     | -8617527017331120247 |
| 61ENG2RS3 | Kỹ năng đọc 3 (B2)                                                      |   01   |    |     3      |     *     | -8737384119288294439 |
| 61ENG2SS3 | Kỹ năng nói 3 (B2)                                                      |   01   |    |     3      |     *     | -7647452543368919412 |
| 61ENG2WS3 | Kỹ năng viết 3 (B2)                                                     |   01   |    |     3      |     *     | -8139878013465486927 |
| 61ENG3CSC | Văn hóa các nước nói tiếng Anh                                          |   01   |    |     3      |     *     | -6931683429002642336 |
| 61ENG3FL1 | Ngoại ngữ 2 - tiếng Anh A1                                              |   01   |    |     3      |     *     | -7796445969911586109 |
| 61ENG3FL2 | Ngoại ngữ 2 - tiếng Anh A2                                              |   01   |    |     4      |     *     | -7731635415075749833 |
| 61ENG3INR | Nhập môn Nghiên cứu                                                     |   01   |    |     2      |     *     | -6263757329278351956 |
| 61ENG3IP1 | Phiên dịch 1                                                            |   01   |    |     3      |     *     | -5017852784678965757 |
| 61ENG3ITI | Nhập môn Biên - Phiên dịch                                              |   01   |    |     2      |     *     | -6133755963002159235 |
| 61ENG3LAT | Lý thuyết Học ngoại ngữ                                                 |   01   |    |     2      |     *     | -4998575842750702194 |
